,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
60,Vila Franca do Campo,75,PT,1554577683,93,37.72,-25.43,59.0,9.3
61,Chokurdakh,88,RU,1554577687,84,70.62,147.9,14.446400000000086,3.51
62,Sept-Iles,75,CA,1554577409,69,50.2,-66.38,37.004000000000055,5.1
63,Koslan,0,RU,1554577687,90,63.46,48.9,30.286400000000004,2.56
64,Lompoc,1,US,1554577371,60,34.64,-120.46,69.00800000000001,6.2
65,Carnarvon,0,ZA,1554577688,47,-30.97,22.13,55.4864,1.31
66,Inirida,24,CO,1554577688,68,3.87,-67.92,88.60640000000006,1.31
67,Pipri,8,IN,1554577688,80,24.21,83.02,69.79640000000009,1.16
68,Busselton,76,AU,1554577610,55,-33.64,115.35,50.0,4.66
69,Terney,68,RU,1554577689,83,45.05,136.61,34.066400000000044,2.61
70,Jacksonville,75,US,1554577514,51,30.33,-81.66,87.99800000000002,4.1
71,Bluff,0,AU,1554577689,86,-23.58,149.07,65.29640000000009,2.96
72,Geraldton,75,CA,1554573600,59,49.72,-86.95,33.8,2.6
73,Clyde River,80,CA,1554573600,91,70.47,-68.59,3.1999999999999993,15.4
74,Port Elizabeth,40,US,1554577651,48,39.31,-74.98,66.99199999999999,2.6
75,Mamallapuram,20,IN,1554575400,83,12.63,80.17,84.2,2.6
76,Puerto Ayora,20,EC,1554577298,66,-0.74,-90.35,86.0,5.1
77,Paamiut,32,GL,1554577691,89,61.99,-49.67,34.69640000000008,14.51
78,Barrow,0,AR,1554577445,41,-38.31,-60.23,75.7364,7.06
79,Cape Town,0,ZA,1554577566,82,-33.93,18.42,68.0,4.6
80,Okhotsk,68,RU,1554577692,78,59.36,143.24,30.466400000000043,2.66
81,Faanui,48,PF,1554577687,100,-16.48,-151.75,84.28640000000001,7.16
82,Vuktyl,8,RU,1554577692,77,63.86,57.31,24.886400000000002,2.16
83,Vaini,0,IN,1554577692,76,15.34,74.49,71.2364,1.21
84,Celica,75,EC,1554573600,58,-4.1,-79.96,82.4,8.7
85,Bermejo,0,AR,1554577693,50,-22.73,-64.34,74.47640000000003,1.31
86,College,75,US,1554577314,46,64.86,-147.8,33.998000000000026,3.6
87,Bolgatanga,32,GH,1554577693,31,10.79,-0.85,98.50640000000007,1.26
88,Seoul,75,KR,1554576000,100,37.57,126.98,51.8,1.5
89,Kununurra,68,AU,1554575400,94,-15.77,128.74,77.0,1.66
90,Itoman,75,JP,1554575400,83,26.12,127.67,71.6,2.6
91,Brae,88,GB,1554574800,70,60.4,-1.35,46.4,6.7
92,Sitka,92,US,1554577219,59,37.17,-99.65,66.00200000000008,3.58
93,Bethel,40,US,1554575040,73,60.79,-161.76,26.6,5.7
94,Ancud,75,CL,1554573600,87,-41.87,-73.83,57.2,8.2
95,Petropavlovsk-Kamchatskiy,40,RU,1554573600,64,53.05,158.65,35.6,2.0
96,Khatanga,48,RU,1554577696,84,71.98,102.47,22.726400000000023,5.01
97,Lasa,20,CY,1554577307,77,34.92,32.53,60.8,3.6
98,Leningradskiy,56,RU,1554577696,85,69.38,178.42,4.996400000000083,6.71
99,Bredasdorp,0,ZA,1554577281,82,-34.53,20.04,64.4,3.6
100,Moose Factory,90,CA,1554575880,67,51.26,-80.61,21.2,3.6
101,Codajas,8,BR,1554577697,42,-3.84,-62.06,97.96640000000005,3.21
102,Richards Bay,80,ZA,1554577477,93,-28.77,32.06,66.82640000000004,5.21
103,Matamoros,1,US,1554577694,52,25.87,-97.51,89.6,8.7
104,Bogovarovo,0,RU,1554577506,92,58.98,47.02,32.17640000000002,2.41
105,Ulaangom,88,MN,1554577698,97,49.98,92.07,30.826400000000024,0.96
106,Jamestown,0,AU,1554577698,82,-33.21,138.6,43.69640000000008,0.96
107,Hermanus,0,ZA,1554577281,81,-34.42,19.24,64.00400000000005,1.34
108,Toamasina,40,MG,1554573600,94,-18.17,49.38,77.0,2.6
109,Vila,20,IT,1554577519,71,45.18,8.4,55.99400000000007,2.6
110,Kirovskiy,76,RU,1554577700,92,45.09,133.51,30.646400000000085,1.41
111,Oksfjord,92,NO,1554577239,80,70.24,22.35,33.8,6.2
112,Mocuba,88,MZ,1554577700,66,-16.84,36.99,80.59640000000009,3.61
113,Yellowknife,90,CA,1554577487,57,62.45,-114.38,17.99600000000005,6.7
114,Port Augusta,0,AU,1554577356,87,-32.49,137.76,51.8,1.5
115,Cherskiy,36,RU,1554577449,63,68.75,161.3,3.8264000000000244,1.11
116,Avarua,48,CK,1554575400,69,-21.21,-159.78,78.80000000000001,2.1
117,Saint-Philippe,40,CA,1554577472,70,45.36,-73.48,48.00200000000008,8.2
118,Georgetown,40,GY,1554573600,74,6.8,-58.16,86.0,8.2
119,Hohhot,0,CN,1554573600,35,40.81,111.65,39.2,2.0
120,Norman Wells,75,CA,1554573600,67,65.28,-126.83,21.2,8.2
121,Fenoarivo,75,MG,1554575400,88,-18.93,47.44,68.0,4.1
122,Celestun,0,MX,1554577704,84,20.87,-90.4,83.20640000000006,3.41
123,Canutama,44,BR,1554577515,96,-6.53,-64.38,81.49640000000008,1.66
124,Xichang,0,CN,1554577704,82,27.88,102.25,34.336400000000005,0.71
125,Guatire,20,VE,1554577516,78,10.47,-66.54,84.00200000000008,1.0
126,Thayetmyo,8,MM,1554577453,61,19.32,95.18,76.1864,1.81
127,Morogoro,20,TZ,1554573600,78,-6.82,37.67,80.6,1.76
128,Oktyabrskiy,56,RU,1554577594,86,55.61,37.97,39.00200000000008,2.0
129,Ponta do Sol,64,BR,1554577706,90,-20.63,-46.0,74.56640000000004,3.21
130,Nuuk,75,GL,1554577327,48,64.17,-51.74,42.8,8.2
131,Tuktoyaktuk,5,CA,1554573600,77,69.44,-133.03,-2.199999999999953,5.1
132,Aklavik,20,CA,1554573600,60,68.22,-135.01,10.399999999999999,1.0
133,Hunchun,0,CN,1554577707,44,42.86,130.36,37.0364,3.41
134,Rorvik,32,NO,1554577502,78,64.86,11.24,41.0,0.45
135,Pangoa,92,PE,1554577708,100,-12.12,-73.0,65.56640000000004,1.41
136,Ribeira Grande,75,PT,1554575400,82,38.52,-28.7,62.6,10.3
137,Pangnirtung,75,CA,1554573600,62,66.15,-65.72,21.2,3.6
138,Caravelas,0,BR,1554577476,98,-17.73,-39.27,82.75640000000007,5.31
139,Banswada,0,IN,1554577625,53,18.38,77.88,76.00640000000007,2.26
140,Skovorodino,80,RU,1554577709,69,53.99,123.94,30.286400000000004,2.96
141,Guozhen,0,CN,1554577710,82,29.3,113.14,64.12640000000002,3.56
142,Yima,32,CN,1554577710,47,34.75,111.87,49.816400000000044,1.46
143,Bismarck,90,US,1554577627,100,46.81,-100.78,44.99600000000005,5.1
144,Angoche,12,MZ,1554577710,100,-16.23,39.91,82.21640000000005,4.56
145,Kanniyakumari,0,IN,1554577711,100,8.08,77.57,85.27640000000002,5.51
146,Amga,12,RU,1554577711,77,60.89,131.98,18.226400000000023,1.21
147,Kodiak,1,US,1554577355,20,39.95,-94.76,73.99400000000009,7.7
148,Saint George,75,GR,1554576600,66,39.45,22.34,55.400000000000006,2.6
149,Veliki Preslav,80,BG,1554577711,46,43.16,26.81,51.79640000000009,2.96
150,Mahina,24,ML,1554577712,23,13.76,-10.85,98.41640000000005,3.36
151,Collie,48,AU,1554577510,55,-33.36,116.15,48.992,1.51
152,Jatibonico,8,CU,1554577712,74,21.94,-79.17,81.85640000000006,4.46
153,Sambava,88,MG,1554577712,100,-14.27,50.17,81.5864,7.16
154,Vestmannaeyjar,75,IS,1554573600,85,63.44,-20.27,41.0,11.3
155,Mhlume,92,SZ,1554577284,87,-26.03,31.81,69.00800000000001,1.31
156,Hithadhoo,44,MV,1554577479,100,-0.6,73.08,84.28640000000001,2.76
157,Price,40,US,1554577690,37,39.6,-110.81,55.400000000000006,2.6
158,Krasnogvardeyskiy,0,RU,1554577714,78,57.38,62.32,30.826400000000024,1.71
159,Ouango,36,CD,1554577714,73,4.31,22.55,82.12640000000002,1.06
160,Chalmette,75,US,1554577585,69,29.94,-89.96,84.2,4.6
161,Penzance,75,GB,1554577687,76,50.12,-5.53,51.8,2.6
162,Carauari,56,BR,1554577511,63,-4.88,-66.9,90.76640000000005,2.46
163,Tura,92,IN,1554577465,96,25.52,90.21,66.91640000000004,1.36
164,Sisimiut,0,GL,1554577696,76,66.94,-53.67,34.336400000000005,2.51
165,Chara,75,GR,1554576600,66,39.42,22.43,55.400000000000006,2.6
166,East London,0,ZA,1554573600,88,-33.02,27.91,62.6,3.1
167,Poso,32,ID,1554577716,100,-1.4,120.75,76.81640000000004,0.56
168,Nurota,20,UZ,1554575400,72,40.56,65.69,59.0,8.2
169,Igra,0,RU,1554577270,74,57.55,53.1,37.99400000000007,1.21
170,Sur,8,OM,1554577717,82,22.57,59.53,80.59640000000009,0.66
171,Wahiawa,1,US,1554577641,78,21.5,-158.02,77.0,2.1
172,Ranong,20,TH,1554573600,88,9.96,98.62,80.6,2.1
173,Wegorzewo,0,PL,1554577718,53,54.22,21.74,49.63640000000001,5.51
174,Sorland,44,NO,1554577718,97,67.67,12.69,40.36640000000004,5.61
175,Lebu,40,ET,1554573600,55,8.96,38.73,66.2,2.1
176,Karabulak,88,KZ,1554577719,94,44.91,78.49,40.90640000000006,0.86
177,Arroyo,75,US,1554577703,48,41.39,-78.88,64.99400000000009,6.2
178,Trinidad,88,UY,1554577719,62,-33.52,-56.9,68.4464000000001,1.96
179,Paranapanema,56,BR,1554577720,70,-23.39,-48.72,83.92640000000003,2.56
180,Emerald,0,AU,1554577669,88,-23.53,148.16,64.4,2.66
181,Whyalla,0,AU,1554577200,87,-33.04,137.58,51.8,1.5
182,Torbay,90,CA,1554577401,35,47.66,-52.73,39.2,8.7
183,Port Alfred,8,ZA,1554577603,87,-33.59,26.89,62.99600000000005,0.45
184,Champoton,40,MX,1554572580,44,19.35,-90.72,93.2,5.1
185,Butaritari,92,KI,1554577722,100,3.07,172.79,79.24640000000008,2.91
186,Fortuna,40,ES,1554577475,67,38.18,-1.13,59.0,1.0
187,Wanaka,0,NZ,1554577722,81,-44.7,169.14,14.716400000000043,0.86
188,Komsomolskiy,80,RU,1554577722,88,67.55,63.78,26.596400000000084,10.06
189,Bento Goncalves,100,BR,1554577711,98,-29.17,-51.52,71.00600000000003,1.16
190,Thompson,20,CA,1554573600,32,55.74,-97.86,26.6,2.6
191,Ankang,0,CN,1554577723,75,32.73,108.99,50.80640000000007,0.61
192,Tiznit,48,MA,1554577724,76,29.7,-9.73,59.26640000000005,5.76
193,Poum,75,MK,1554575400,66,41.28,20.71,51.8,2.1
194,Kabwe,76,ZM,1554577724,55,-14.44,28.44,75.91640000000004,2.86
195,Dikson,64,RU,1554577724,93,73.51,80.55,15.886400000000002,3.56
196,Burnie,64,AU,1554577724,86,-41.05,145.91,51.998000000000026,0.45
197,Upernavik,0,GL,1554577725,81,72.79,-56.15,32.9864,7.46
198,Namibe,0,AO,1554577725,100,-15.19,12.15,78.34640000000009,3.56
199,Mountain Home,90,US,1554577387,71,43.13,-115.69,50.0,2.76
200,Tual,48,ID,1554577726,98,-5.67,132.75,84.01640000000005,2.16
201,Miri,88,NG,1554577726,28,10.31,9.75,91.4864,1.86
202,Chicama,20,PE,1554573600,83,-7.84,-79.15,73.4,5.1
203,Camacupa,48,AO,1554577448,88,-12.02,17.48,67.54640000000009,0.86
204,Fallon,75,US,1554574500,67,46.84,-105.12,57.2,2.1
205,Kalevala,0,FI,1554577727,85,64.12,29.58,31.546400000000084,2.76
206,Ampanihy,0,MG,1554577728,86,-24.69,44.75,70.60640000000006,1.81
207,Fiumicino,0,IT,1554577684,76,41.77,12.23,55.99400000000007,2.6
208,Comodoro Rivadavia,20,AR,1554573600,53,-45.87,-67.48,71.6,2.1
209,Souillac,0,FR,1554577650,93,45.6,-0.6,48.00200000000008,4.1
210,Nindiri,20,NI,1554573600,46,12.0,-86.12,91.4,6.2
211,Severo-Kurilsk,92,RU,1554577495,96,50.68,156.12,32.17640000000002,13.01
212,Eyl,0,SO,1554577729,100,7.98,49.82,78.61640000000006,2.81
213,Palani,0,IN,1554577730,76,10.45,77.52,65.92640000000003,0.81
214,Kabanjahe,40,ID,1554575400,94,3.1,98.49,78.80000000000001,2.1
215,Wyszkow,0,PL,1554577695,43,52.59,21.46,57.00200000000008,3.1
216,Lavrentiya,48,RU,1554577731,98,65.58,-170.99,5.446400000000086,2.06
217,Sao Filipe,0,CV,1554577731,92,14.9,-24.5,72.13640000000001,8.76
218,Aguada de Pasajeros,20,CU,1554573000,58,22.38,-80.85,87.80000000000001,4.6
219,Bambous Virieux,75,MU,1554577441,74,-20.34,57.76,80.6,5.1
220,Ntoum,40,GA,1554575400,79,0.39,9.76,84.2,2.6
221,Lydenburg,80,ZA,1554577352,95,-25.1,30.46,66.99199999999999,0.96
222,Santo Antonio do Monte,8,BR,1554577732,90,-20.09,-45.29,76.27640000000002,2.41
223,Sonkovo,12,RU,1554577733,85,57.78,37.16,33.34640000000009,3.91
224,Sola,0,NO,1554577502,87,58.89,5.65,46.4,4.1
225,Alofi,92,NU,1554573600,100,-19.06,-169.92,77.0,1.5
226,Tuatapere,0,NZ,1554577734,100,-46.13,167.69,43.24640000000009,1.96
227,Codrington,75,AU,1554577495,93,-28.95,153.24,64.00400000000005,3.1
228,Bakel,20,SN,1554577734,23,14.9,-12.46,98.6864,4.01
229,George Town,75,MY,1554575400,83,5.42,100.33,84.2,0.5
230,Nizwa,24,OM,1554577735,23,22.93,57.53,71.41640000000004,1.81
231,Mandalgovi,80,MN,1554577736,98,45.76,106.27,28.486400000000003,6.46
232,Los Llanos de Aridane,75,ES,1554577506,63,28.66,-17.92,64.4,7.2
233,Poshekhonye,12,RU,1554577736,82,58.5,39.12,32.626400000000025,3.56
234,Naze,75,NG,1554573600,83,5.43,7.07,78.80000000000001,1.0
235,Palmer,20,AU,1554577728,76,-34.85,139.16,55.99400000000007,3.1
236,La Ronge,90,CA,1554573600,55,55.1,-105.3,35.6,4.6
237,Conceicao do Mato Dentro,0,BR,1554577738,63,-19.04,-43.42,85.36640000000006,1.86
238,Te Anau,0,NZ,1554577503,72,-45.41,167.72,23.446400000000082,1.86
239,Bahia Blanca,0,AR,1554577738,42,-38.72,-62.27,78.88640000000001,7.46
240,Calvia,20,ES,1554577448,67,39.57,2.51,57.992,5.7
241,Beyneu,56,KZ,1554577739,58,45.32,55.19,50.44640000000008,7.36
242,Champerico,40,MX,1554572820,34,16.38,-93.6,93.2,5.1
243,Zhanakorgan,0,KZ,1554577739,63,43.91,67.25,50.44640000000008,5.76
244,Fairbanks,75,US,1554577501,46,64.84,-147.72,33.998000000000026,3.6
245,Naranjal,90,PY,1554573600,73,-25.97,-55.19,73.4,2.1
246,Jacareacanga,8,BR,1554577740,58,-6.22,-57.76,91.21640000000005,1.26
247,Ilo,0,PE,1554573600,69,-17.65,-71.34,75.2,4.6
248,Den Helder,90,NL,1554577737,93,52.96,4.76,55.004000000000055,5.1
249,San Luis,0,AR,1554577477,25,-33.3,-66.34,82.4864,3.86
250,Garowe,0,SO,1554577742,43,8.41,48.48,78.16640000000004,5.46
251,Aswan,0,EG,1554573600,17,24.09,32.9,86.0,2.6
252,Namatanai,88,PG,1554577743,100,-3.66,152.44,80.2364,2.76
253,Solnechnyy,76,RU,1554577743,90,50.72,136.64,26.686400000000003,2.51
254,Tutoia,92,BR,1554577743,100,-2.76,-42.27,74.92640000000003,1.51
255,Arraial do Cabo,0,BR,1554577200,66,-22.97,-42.02,87.80000000000001,4.1
256,Zarechnyy,0,RU,1554577744,73,60.99,40.4,25.246400000000087,2.06
257,Huron,1,US,1554573720,67,44.36,-98.21,64.4,4.1
258,Jaciara,88,BR,1554577744,82,-15.95,-54.98,74.74640000000008,4.11
259,Mikumi,80,TZ,1554577745,92,-7.4,36.98,71.95640000000006,0.86
260,Madimba,40,CM,1554573600,83,4.42,9.93,84.2,1.0
261,Guerrero Negro,0,MX,1554577745,67,27.97,-114.04,66.28640000000001,6.86
262,Ilulissat,75,GL,1554573000,44,69.22,-51.1,39.2,10.3
263,Atasu,0,KZ,1554577649,84,48.68,71.64,33.526400000000024,3.51
264,Baramati,0,IN,1554577746,40,18.15,74.57,75.82640000000004,3.21
265,Grand Gaube,75,MU,1554577740,74,-20.01,57.66,80.6,5.1
266,Yulara,0,AU,1554573600,37,-25.24,130.99,71.6,3.6
267,Beloha,0,MG,1554577747,55,-25.17,45.06,81.9464000000001,6.11
268,Dickinson,90,US,1554577509,93,46.88,-102.79,55.004000000000055,3.6
269,Lensk,56,RU,1554577748,73,60.71,114.91,16.7864,1.31
270,Labuhan,88,ID,1554577748,97,-2.54,115.51,71.86640000000006,0.61
271,Castro,75,CL,1554573600,87,-42.48,-73.76,57.2,8.2
272,Aqtobe,0,KZ,1554575400,72,50.28,57.21,39.2,3.0
273,Hay River,75,CA,1554573600,46,60.82,-115.79,28.4,6.7
274,Nishihara,20,JP,1554577423,54,35.74,139.53,57.00200000000008,4.6
275,Lorengau,80,PG,1554577749,95,-2.02,147.27,83.56640000000004,3.56
276,Zanjan,44,IR,1554577678,87,36.67,48.48,38.92640000000002,1.46
277,Tezu,0,IN,1554577750,63,27.93,96.16,60.34640000000009,0.96
278,Longford,75,IE,1554577207,70,53.73,-7.8,48.2,2.6
279,Dunedin,0,NZ,1554577588,63,-45.87,170.5,48.00200000000008,4.47
280,Ostrovnoy,0,RU,1554577750,81,68.05,39.51,25.696400000000086,5.21
281,Worland,1,US,1554577295,31,44.02,-107.96,62.6,2.1
282,Intipuca,0,SV,1554573000,36,13.2,-88.05,95.0,2.1
283,Beitbridge,24,ZA,1554577751,65,-22.21,29.99,76.1864,6.21
284,Avera,90,US,1554577726,82,33.19,-82.53,73.00400000000005,2.6
285,Le Port,36,FR,1554577750,66,42.87,1.37,46.004000000000055,3.13
286,Hastings,88,NZ,1554577753,100,-39.64,176.84,50.17640000000003,5.56
287,Tjaereborg,36,DK,1554577502,76,55.46,8.58,55.004000000000055,2.6
288,Belaya Gora,80,RU,1554577504,84,68.54,146.19,14.266400000000043,1.41
289,Ingham,68,AU,1554577754,99,-18.65,146.16,76.90640000000008,7.61
290,Oktyabrskoye,0,RU,1554577529,43,56.73,85.44,37.004000000000055,3.0
291,Shieli,0,KZ,1554577754,77,44.18,66.74,47.74640000000009,3.76
292,Najran,40,SA,1554573600,47,17.54,44.22,75.2,3.1
293,Tautira,20,PF,1554577348,70,-17.73,-149.15,86.0,1.0
294,Aksha,0,RU,1554577755,35,50.28,113.29,14.356400000000065,2.56
295,Nizhniy Kuranakh,76,RU,1554577756,71,58.84,125.49,25.516400000000043,1.76
296,Laguna,5,MX,1554572460,33,27.52,-110.01,77.0,2.6
297,Ust-Kulom,0,RU,1554577757,81,61.69,53.69,28.036400000000004,2.51
298,Beringovskiy,76,RU,1554577757,97,63.05,179.32,13.636400000000002,5.66
299,Lianran,0,CN,1554577605,50,24.92,102.47,53.99600000000005,4.0
300,Cabra,0,ES,1554577638,76,37.47,-4.43,51.8,3.1
301,Hualmay,20,PE,1554577758,73,-11.1,-77.61,76.09640000000009,2.26
302,Brandon,90,US,1554577403,77,43.59,-96.57,64.99400000000009,4.6
303,Dalvik,80,SE,1554577506,50,57.79,14.13,53.6,3.6
304,Kargasok,76,RU,1554577759,74,59.06,80.87,27.406400000000065,3.31
305,Yatou,40,CM,1554573600,83,3.63,9.81,84.2,1.0
306,Flinders,90,AU,1554577746,88,-34.58,150.85,66.99199999999999,3.1
307,Makat,56,KZ,1554577760,67,47.65,53.35,52.066400000000044,6.11
308,Ucluelet,90,CA,1554577693,87,48.94,-125.55,46.99400000000007,9.8
309,Livingston,90,US,1554577226,83,32.58,-88.19,73.4,3.6
310,Kruisfontein,0,ZA,1554577761,80,-34.0,24.73,65.47640000000003,6.91
311,Ribas do Rio Pardo,76,BR,1554577761,95,-20.45,-53.76,76.09640000000009,1.96
312,Salinas,90,US,1554577505,77,36.67,-121.66,66.99199999999999,2.6
313,Victoria,75,BN,1554575400,83,5.28,115.24,82.4,0.5
314,Hofn,8,IS,1554577763,100,64.25,-15.21,36.586400000000005,9.06
315,San Antero,75,CO,1554573600,47,9.38,-75.76,95.0,4.6
316,Chadiza,92,ZM,1554577763,53,-14.06,32.43,76.1864,4.31
317,Eureka,90,US,1554577708,63,40.8,-124.16,60.998000000000026,4.6
318,Qasigiannguit,75,GL,1554573000,44,68.82,-51.19,39.2,10.3
319,Mahebourg,75,MU,1554577740,74,-20.41,57.7,80.6,5.1
320,La Palma,24,CO,1554577765,69,5.36,-74.39,80.05640000000007,0.76
321,Tiksi,24,RU,1554577765,80,71.64,128.87,11.926400000000022,1.31
322,Meulaboh,92,ID,1554577765,100,4.14,96.13,77.80640000000007,1.21
323,Townsville,40,AU,1554577225,94,-19.26,146.82,71.6,2.6
324,Boffa,12,GN,1554577766,45,10.18,-14.04,91.21640000000005,4.16
325,Isangel,0,VU,1554577766,100,-19.55,169.27,76.99640000000008,7.36
326,Njinikom,88,CM,1554577767,96,6.23,10.31,63.04640000000009,0.96
327,Fortuna Foothills,1,US,1554577746,25,32.66,-114.41,77.0,3.6
328,Narsaq,75,GL,1554573000,24,60.91,-46.05,46.4,2.6
329,Lapy,0,PL,1554577574,43,52.99,22.88,51.998000000000026,5.91
330,Banda Aceh,12,ID,1554577768,90,5.56,95.32,78.16640000000004,0.61
331,Iralaya,80,HN,1554577768,83,15.0,-83.23,81.49640000000008,3.86
332,Port Macquarie,40,AU,1554577505,100,-31.43,152.91,60.00800000000001,0.5
333,Kawalu,80,ID,1554577566,100,-7.38,108.21,68.71640000000005,1.11
334,Alta Floresta,56,BR,1554577769,82,-9.87,-56.08,81.40640000000008,1.31
335,Winneba,20,GH,1554573600,79,5.35,-0.62,84.2,8.7
336,Nerja,75,ES,1554577658,93,36.75,-3.88,55.99400000000007,4.1
337,Wanning,0,AT,1554577705,50,48.64,13.53,55.400000000000006,5.7
338,Touba,0,SN,1554573600,20,14.86,-15.88,98.60000000000001,4.1
339,Peoria,75,US,1554577588,68,40.69,-89.59,68.0,3.6
340,Constitucion,5,MX,1554577217,15,23.99,-104.67,71.99600000000005,4.1
341,Port Lincoln,0,AU,1554577771,100,-34.72,135.86,56.38640000000001,3.86
342,Porirua,64,NZ,1554577515,87,-41.14,174.84,53.6,13.4
343,Vao,0,EE,1554577772,67,59.1,26.19,40.276400000000024,2.11
344,Mordovo,24,RU,1554577772,99,52.09,40.76,35.2364,1.21
345,Moron,0,VE,1554577772,42,10.49,-68.2,87.88640000000001,1.96
346,Yar-Sale,80,RU,1554577686,84,66.83,70.83,29.836400000000005,11.16
347,Mkushi,76,ZM,1554577773,65,-13.61,29.4,71.6864,3.21
348,Luau,44,CD,1554577773,60,-10.7,22.23,77.53640000000001,2.41
349,Banjar,76,ID,1554577774,96,-7.37,108.54,71.32640000000004,1.11
